,Delta_t,Ti,Gv,Ph,pt
0,1.0,4.9,0.084,10.7002566,0.06243
1,1.0,8.4,0.202,10.460387300000002,0.06015
2,1.0,10.8,0.315,10.046699666666665,0.05723
3,1.0,12.9,0.375,9.560008333333332,0.05266
4,1.0,15.1,0.39,8.922674444444443,0.05497
5,1.0,15.9,0.351,8.628342066666667,0.06119
6,1.0,12.6,0.249,8.214654433333331,0.06153
7,1.0,11.9,0.1,7.995643333333335,0.06481
8,1.0,10.5,0.01,7.879764444444444,0.06973
9,1.0,8.9,0.0,7.995643333333335,0.0802
10,1.0,8.9,0.0,8.155556199999998,0.08381
11,1.0,8.1,0.0,0.4496100888888886,0.08643
12,1.0,7.3,0.0,0.4078936888888889,0.08449
13,1.0,6.3,0.0,0.2502984000000001,0.08613
14,1.0,6.1,0.0,0.11124373333333333,0.08778
15,1.0,5.9,0.0,0.03708124444444443,0.08943
16,1.0,7.6,0.0,0.02433456666666668,0.08716
17,1.0,7.7,0.0,0.01738183333333333,0.08717
18,1.0,7.3,0.0,0.8111522222222223,0.09862
19,1.0,7.3,0.0,1.7602003222222227,0.1
20,1.0,7.1,0.0,1.7602003222222207,0.09636
21,1.0,6.5,0.0,1.6802438888888878,0.08886
22,1.0,6.4,0.0,9.38619,0.08037
23,1.0,6.6,0.002,10.519485533333336,0.07058
